Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.766350 3170 0.407658 0.0527877 0.0824981 0.907867 0.0500488 0.198486 0.906311 7.08008 -1.58691 40.7104 11.1182 -1.66945 131.8 228.2
2018-Nov-26 11:29:15.770911 4561 0.406111 0.0535324 0.0823703 0.908528 0.0606689 0.191589 0.907715 2.31934 -11.1694 39.6729 11.1368 -1.77365 132.004 227.996
2018-Nov-26 11:29:15.776892 5981 0.404597 0.0544011 0.0819735 0.909188 0.0700684 0.186646 0.912109 -1.40381 -15.5029 39.3677 11.1326 -1.90338 132.207 227.793
2018-Nov-26 11:29:15.780945 4053 0.403081 0.0552115 0.0814359 0.90986 0.0775757 0.178955 0.913269 -4.15039 -14.8926 39.4287 11.1104 -2.03351 132.41 227.59
2018-Nov-26 11:29:15.788509 7564 0.401538 0.0558927 0.0808256 0.910555 0.0874023 0.176697 0.915405 -6.40869 -12.0239 39.856 11.0741 -2.15353 132.616 227.384
2018-Nov-26 11:29:15.791077 2568 0.399949 0.0564361 0.0801728 0.911278 0.0949707 0.176514 0.913391 -8.54492 -8.66699 40.7715 11.0265 -2.26128 132.826 227.174
2018-Nov-26 11:29:15.796532 5455 0.398319 0.0567585 0.0795093 0.91203 0.106201 0.180725 0.919556 -11.1084 -3.11279 41.3208 10.9671 -2.34625 133.04 226.96
2018-Nov-26 11:29:15.801577 5045 0.396639 0.0568477 0.0788608 0.912813 0.111633 0.183228 0.922424 -13.2446 2.74658 42.1143 10.8983 -2.40605 133.257 226.743
2018-Nov-26 11:29:15.806201 4624 0.394945 0.056709 0.0782376 0.913609 0.123352 0.187866 0.928589 -15.2588 8.78906 41.9312 10.8215 -2.44026 133.474 226.526
2018-Nov-26 11:29:15.812819 6618 0.393369 0.0561504 0.0776313 0.914375 0.143372 0.183472 0.925964 -18.8599 19.3481 38.0859 10.7278 -2.42717 133.673 226.327
2018-Nov-26 11:29:15.816297 3478 0.39194 0.0550176 0.0770401 0.915107 0.119324 0.163208 0.944458 -22.2778 30.5176 33.7524 10.6102 -2.35005 133.847 226.153
2018-Nov-26 11:29:15.820846 4549 0.390562 0.0540271 0.0762381 0.915822 0.115173 0.132141 0.949341 -22.522 24.292 33.1421 10.4771 -2.29675 134.018 225.982
2018-Nov-26 11:29:15.826735 5889 0.389176 0.0534985 0.0751866 0.91653 0.130554 0.126038 0.962708 -21.9116 13.2446 34.1187 10.3384 -2.30374 134.194 225.806
2018-Nov-26 11:29:15.830903 4168 0.387721 0.0533969 0.074128 0.917238 0.158447 0.159546 0.973145 -20.2026 6.7749 35.9497 10.2179 -2.35698 134.383 225.617
2018-Nov-26 11:29:15.838277 7374 0.386291 0.0534076 0.0732516 0.917911 0.182739 0.174622 0.982056 -17.8223 8.66699 34.79 10.1216 -2.41339 134.567 225.433
2018-Nov-26 11:29:15.840921 2644 0.384978 0.0531674 0.0725935 0.918529 0.182861 0.170593 0.987122 -15.9302 16.6016 31.0669 10.0376 -2.43163 134.734 225.266
